"행정구역","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~4세","2022년10월_계_5~9세","2022년10월_계_10~14세","2022년10월_계_15~19세","2022년10월_계_20~24세","2022년10월_계_25~29세","2022년10월_계_30~34세","2022년10월_계_35~39세","2022년10월_계_40~44세","2022년10월_계_45~49세","2022년10월_계_50~54세","2022년10월_계_55~59세","2022년10월_계_60~64세","2022년10월_계_65~69세","2022년10월_계_70~74세","2022년10월_계_75~79세","2022년10월_계_80~84세","2022년10월_계_85~89세","2022년10월_계_90~94세","2022년10월_계_95~99세","2022년10월_계_100세 이상","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~4세","2022년10월_남_5~9세","2022년10월_남_10~14세","2022년10월_남_15~19세","2022년10월_남_20~24세","2022년10월_남_25~29세","2022년10월_남_30~34세","2022년10월_남_35~39세","2022년10월_남_40~44세","2022년10월_남_45~49세","2022년10월_남_50~54세","2022년10월_남_55~59세","2022년10월_남_60~64세","2022년10월_남_65~69세","2022년10월_남_70~74세","2022년10월_남_75~79세","2022년10월_남_80~84세","2022년10월_남_85~89세","2022년10월_남_90~94세","2022년10월_남_95~99세","2022년10월_남_100세 이상","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~4세","2022년10월_여_5~9세","2022년10월_여_10~14세","2022년10월_여_15~19세","2022년10월_여_20~24세","2022년10월_여_25~29세","2022년10월_여_30~34세","2022년10월_여_35~39세","2022년10월_여_40~44세","2022년10월_여_45~49세","2022년10월_여_50~54세","2022년10월_여_55~59세","2022년10월_여_60~64세","2022년10월_여_65~69세","2022년10월_여_70~74세","2022년10월_여_75~79세","2022년10월_여_80~84세","2022년10월_여_85~89세","2022년10월_여_90~94세","2022년10월_여_95~99세","2022년10월_여_100세 이상"
"서울특별시  (1100000000)","9,443,722","9,443,722","230,113","321,436","363,830","387,057","586,313","813,585","753,243","672,960","734,966","720,616","802,675","692,133","717,182","575,264","407,640","303,911","217,309","100,234","34,229","7,725","1,301","4,578,459","4,578,459","118,851","164,382","186,891","197,378","276,433","393,657","376,644","335,895","364,574","355,330","396,738","339,597","342,391","268,452","187,587","135,383","91,925","35,219","9,200","1,651","281","4,865,263","4,865,263","111,262","157,054","176,939","189,679","309,880","419,928","376,599","337,065","370,392","365,286","405,937","352,536","374,791","306,812","220,053","168,528","125,384","65,015","25,029","6,074","1,020"
"서울특별시 종로구 (1111000000)","141,861","141,861","2,548","3,967","4,779","5,370","9,727","12,790","10,530","8,829","9,892","10,263","12,745","11,529","11,310","8,873","6,197","5,214","4,281","2,095","710","181","31","68,601","68,601","1,298","2,004","2,357","2,673","4,365","6,346","5,287","4,317","4,782","4,917","6,350","5,775","5,748","4,400","2,867","2,247","1,784","795","216","62","11","73,260","73,260","1,250","1,963","2,422","2,697","5,362","6,444","5,243","4,512","5,110","5,346","6,395","5,754","5,562","4,473","3,330","2,967","2,497","1,300","494","119","20"
"서울특별시 중구 (1114000000)","120,648","120,648","2,796","3,194","2,978","3,392","7,083","10,659","10,706","9,157","8,846","8,014","10,090","9,391","9,830","8,110","5,711","4,529","3,567","1,745","668","152","30","58,643","58,643","1,428","1,631","1,498","1,683","3,175","5,045","5,290","4,631","4,542","4,041","5,046","4,812","4,939","4,019","2,715","1,939","1,439","538","186","36","10","62,005","62,005","1,368","1,563","1,480","1,709","3,908","5,614","5,416","4,526","4,304","3,973","5,044","4,579","4,891","4,091","2,996","2,590","2,128","1,207","482","116","20"
"서울특별시 용산구 (1117000000)","219,102","219,102","5,536","6,568","6,755","7,576","12,698","19,363","20,431","17,490","17,014","15,698","19,096","16,272","16,279","12,716","8,650","6,835","5,738","3,015","1,099","231","42","105,303","105,303","2,859","3,317","3,429","3,864","5,797","9,107","10,139","8,648","8,499","7,623","9,350","8,024","8,012","6,136","3,941","2,840","2,268","1,056","329","58","7","113,799","113,799","2,677","3,251","3,326","3,712","6,901","10,256","10,292","8,842","8,515","8,075","9,746","8,248","8,267","6,580","4,709","3,995","3,470","1,959","770","173","35"
"서울특별시 성동구 (1120000000)","281,694","281,694","8,717","9,640","8,747","9,871","18,089","24,418","23,196","22,502","22,141","20,256","23,871","21,212","21,719","16,365","11,195","8,868","6,616","3,076","950","204","41","137,075","137,075","4,526","4,894","4,426","4,824","8,701","12,181","11,187","11,207","11,232","10,050","11,685","10,539","10,828","7,802","5,153","3,784","2,697","1,042","260","45","12","144,619","144,619","4,191","4,746","4,321","5,047","9,388","12,237","12,009","11,295","10,909","10,206","12,186","10,673","10,891","8,563","6,042","5,084","3,919","2,034","690","159","29"
"서울특별시 광진구 (1121500000)","337,900","337,900","6,865","9,801","11,586","12,923","24,379","36,355","30,339","24,184","25,008","24,504","28,285","25,080","25,278","19,146","12,950","9,672","7,068","3,134","1,054","247","42","162,844","162,844","3,519","5,056","5,947","6,433","11,127","17,244","15,205","11,978","12,225","12,048","13,723","12,332","12,135","9,074","5,946","4,357","3,050","1,086","287","59","13","175,056","175,056","3,346","4,745","5,639","6,490","13,252","19,111","15,134","12,206","12,783","12,456","14,562","12,748","13,143","10,072","7,004","5,315","4,018","2,048","767","188","29"
"서울특별시 동대문구 (1123000000)","337,273","337,273","8,261","10,587","10,863","12,028","25,994","30,545","25,347","23,356","24,906","23,529","27,211","24,578","26,206","21,437","15,343","12,368","9,062","4,088","1,253","257","54","166,113","166,113","4,152","5,443","5,597","6,005","11,766","15,597","12,986","12,091","12,859","12,097","13,738","12,481","12,885","10,293","7,024","5,424","3,777","1,475","360","52","11","171,160","171,160","4,109","5,144","5,266","6,023","14,228","14,948","12,361","11,265","12,047","11,432","13,473","12,097","13,321","11,144","8,319","6,944","5,285","2,613","893","205","43"
"서울특별시 중랑구 (1126000000)","385,976","385,976","9,191","11,346","11,890","13,073","21,007","31,706","30,865","26,894","28,193","26,686","33,445","32,574","34,757","26,821","18,431","13,541","9,669","4,172","1,356","308","51","189,869","189,869","4,691","5,831","6,075","6,630","10,214","15,374","15,633","13,965","14,864","13,655","16,507","16,111","17,005","12,777","8,613","6,009","4,044","1,467","329","66","9","196,107","196,107","4,500","5,515","5,815","6,443","10,793","16,332","15,232","12,929","13,329","13,031","16,938","16,463","17,752","14,044","9,818","7,532","5,625","2,705","1,027","242","42"
"서울특별시 성북구 (1129000000)","431,581","431,581","10,801","15,460","17,107","19,194","31,926","33,895","29,281","28,717","32,546","33,868","38,739","31,406","31,801","25,442","18,223","14,673","11,330","5,081","1,673","369","49","207,584","207,584","5,595","7,828","8,760","9,675","14,447","16,935","14,688","14,235","16,066","16,496","19,258","15,397","15,086","11,771","8,118","6,240","4,646","1,809","459","65","10","223,997","223,997","5,206","7,632","8,347","9,519","17,479","16,960","14,593","14,482","16,480","17,372","19,481","16,009","16,715","13,671","10,105","8,433","6,684","3,272","1,214","304","39"
"서울특별시 강북구 (1130500000)","294,429","294,429","5,144","7,810","9,379","10,770","17,927","22,292","18,844","17,192","20,454","21,922","26,668","24,257","26,043","21,147","16,331","13,031","9,694","4,013","1,208","262","41","143,000","143,000","2,646","3,997","4,810","5,409","8,344","11,207","9,801","9,079","10,695","11,134","13,237","11,952","12,315","9,807","7,156","5,462","4,006","1,528","350","54","11","151,429","151,429","2,498","3,813","4,569","5,361","9,583","11,085","9,043","8,113","9,759","10,788","13,431","12,305","13,728","11,340","9,175","7,569","5,688","2,485","858","208","30"
"서울특별시 도봉구 (1132000000)","312,427","312,427","6,287","9,466","11,108","12,526","17,916","21,815","19,599","18,782","21,762","22,967","28,574","26,344","28,782","23,077","15,906","12,140","9,390","4,214","1,410","320","42","151,811","151,811","3,327","4,882","5,732","6,442","8,909","11,041","9,968","9,701","10,979","11,262","13,740","12,631","13,454","10,974","7,507","5,371","3,969","1,457","373","80","12","160,616","160,616","2,960","4,584","5,376","6,084","9,007","10,774","9,631","9,081","10,783","11,705","14,834","13,713","15,328","12,103","8,399","6,769","5,421","2,757","1,037","240","30"
"서울특별시 노원구 (1135000000)","505,058","505,058","11,408","17,285","22,632","26,807","34,995","33,562","31,354","30,610","37,279","41,810","47,698","38,622","39,747","31,693","21,893","16,364","12,504","6,057","2,181","473","84","242,826","242,826","5,907","8,851","11,766","13,867","17,722","17,260","15,628","15,270","17,916","19,748","23,005","18,647","18,555","14,645","9,883","6,830","4,764","1,900","557","91","14","262,232","262,232","5,501","8,434","10,866","12,940","17,273","16,302","15,726","15,340","19,363","22,062","24,693","19,975","21,192","17,048","12,010","9,534","7,740","4,157","1,624","382","70"
"서울특별시 은평구 (1138000000)","468,988","468,988","10,963","15,227","17,329","19,317","26,974","36,629","34,407","31,817","35,949","36,490","41,425","35,579","37,655","29,865","21,734","17,025","12,741","5,769","1,675","367","51","223,764","223,764","5,663","7,814","8,823","9,944","12,963","17,024","16,799","15,700","17,933","17,866","20,139","16,970","17,664","13,526","9,646","7,240","5,393","2,082","484","78","13","245,224","245,224","5,300","7,413","8,506","9,373","14,011","19,605","17,608","16,117","18,016","18,624","21,286","18,609","19,991","16,339","12,088","9,785","7,348","3,687","1,191","289","38"
"서울특별시 서대문구 (1141000000)","305,113","305,113","7,758","10,528","10,701","11,914","21,908","27,117","22,929","21,132","22,619","22,179","26,199","22,465","22,574","17,616","12,648","10,609","8,566","4,036","1,292","269","54","145,287","145,287","4,002","5,276","5,444","5,854","9,795","13,251","11,313","10,464","11,185","10,835","12,759","10,872","10,792","8,166","5,489","4,437","3,450","1,458","382","52","11","159,826","159,826","3,756","5,252","5,257","6,060","12,113","13,866","11,616","10,668","11,434","11,344","13,440","11,593","11,782","9,450","7,159","6,172","5,116","2,578","910","217","43"
"서울특별시 마포구 (1144000000)","364,698","364,698","9,478","12,532","13,294","14,052","24,424","36,071","33,240","29,621","29,614","28,824","30,555","24,390","23,411","17,859","12,849","10,499","8,263","4,028","1,374","266","54","171,062","171,062","4,916","6,354","6,746","7,057","10,604","16,225","15,542","14,050","14,475","13,835","14,941","11,922","11,185","8,146","5,507","4,329","3,340","1,404","412","61","11","193,636","193,636","4,562","6,178","6,548","6,995","13,820","19,846","17,698","15,571","15,139","14,989","15,614","12,468","12,226","9,713","7,342","6,170","4,923","2,624","962","205","43"
"서울특별시 양천구 (1147000000)","441,749","441,749","9,875","17,541","24,133","24,616","25,866","29,481","27,110","27,233","35,831","38,810","41,266","34,130","34,282","27,015","18,455","12,158","8,174","3,944","1,446","334","49","216,133","216,133","5,141","8,974","12,512","12,855","13,209","14,831","13,643","13,277","16,963","18,713","20,544","16,881","16,427","12,807","8,819","5,553","3,350","1,214","335","76","9","225,616","225,616","4,734","8,567","11,621","11,761","12,657","14,650","13,467","13,956","18,868","20,097","20,722","17,249","17,855","14,208","9,636","6,605","4,824","2,730","1,111","258","40"
"서울특별시 강서구 (1150000000)","570,011","570,011","14,570","19,587","21,145","21,883","31,162","52,281","53,031","44,689","46,011","42,376","44,021","39,143","44,047","35,505","24,441","16,684","11,316","5,483","2,066","495","75","273,644","273,644","7,415","9,951","10,878","11,087","14,605","23,335","26,212","22,920","23,195","21,117","21,733","18,436","20,444","16,217","11,442","7,736","4,597","1,726","484","98","16","296,367","296,367","7,155","9,636","10,267","10,796","16,557","28,946","26,819","21,769","22,816","21,259","22,288","20,707","23,603","19,288","12,999","8,948","6,719","3,757","1,582","397","59"
"서울특별시 구로구 (1153000000)","394,212","394,212","10,958","13,502","14,259","14,409","21,467","31,450","31,963","28,948","30,865","29,387","32,059","29,365","31,644","26,160","19,097","13,716","9,351","4,008","1,278","287","39","193,834","193,834","5,717","6,858","7,221","7,432","10,374","15,261","16,172","14,969","15,795","14,969","15,936","14,552","15,149","12,142","9,017","6,393","4,056","1,434","329","50","8","200,378","200,378","5,241","6,644","7,038","6,977","11,093","16,189","15,791","13,979","15,070","14,418","16,123","14,813","16,495","14,018","10,080","7,323","5,295","2,574","949","237","31"
"서울특별시 금천구 (1154500000)","230,156","230,156","4,949","5,928","6,410","7,202","12,901","23,948","21,318","15,977","15,582","15,264","19,255","19,193","20,309","14,959","10,582","7,765","5,422","2,279","726","158","29","116,062","116,062","2,578","3,028","3,269","3,602","6,132","11,942","11,711","8,797","8,443","7,933","9,707","9,610","10,167","7,185","5,027","3,562","2,318","796","211","35","9","114,094","114,094","2,371","2,900","3,141","3,600","6,769","12,006","9,607","7,180","7,139","7,331","9,548","9,583","10,142","7,774","5,555","4,203","3,104","1,483","515","123","20"
"서울특별시 영등포구 (1156000000)","375,849","375,849","11,185","12,561","11,681","11,893","20,994","36,990","38,114","31,415","29,066","26,166","29,300","26,344","27,125","21,243","15,675","11,660","8,579","4,247","1,305","268","38","184,845","184,845","5,720","6,429","5,957","6,239","9,471","17,121","19,167","16,129","15,097","13,339","14,838","13,472","13,338","10,232","7,305","5,263","3,682","1,580","393","63","10","191,004","191,004","5,465","6,132","5,724","5,654","11,523","19,869","18,947","15,286","13,969","12,827","14,462","12,872","13,787","11,011","8,370","6,397","4,897","2,667","912","205","28"
"서울특별시 동작구 (1159000000)","382,747","382,747","9,179","12,563","12,763","14,133","26,514","38,214","32,718","27,519","28,783","27,470","30,724","26,751","27,765","22,541","16,881","12,992","9,165","4,259","1,419","332","62","185,098","185,098","4,727","6,359","6,577","7,205","12,337","18,831","16,650","13,842","14,522","13,667","15,028","12,851","12,912","10,341","7,459","5,719","4,036","1,542","402","76","15","197,649","197,649","4,452","6,204","6,186","6,928","14,177","19,383","16,068","13,677","14,261","13,803","15,696","13,900","14,853","12,200","9,422","7,273","5,129","2,717","1,017","256","47"
"서울특별시 관악구 (1162000000)","487,201","487,201","7,859","10,595","11,889","14,652","38,124","72,664","52,612","34,133","32,955","31,171","35,024","31,127","32,984","26,907","21,185","15,943","11,219","4,435","1,375","295","53","244,980","244,980","4,111","5,466","6,112","7,382","16,874","36,949","29,305","18,825","17,807","16,571","18,065","15,613","15,740","12,260","9,699","7,120","4,996","1,669","359","50","7","242,221","242,221","3,748","5,129","5,777","7,270","21,250","35,715","23,307","15,308","15,148","14,600","16,959","15,514","17,244","14,647","11,486","8,823","6,223","2,766","1,016","245","46"
"서울특별시 서초구 (1165000000)","404,902","404,902","10,980","18,397","22,903","21,536","22,755","27,632","28,296","28,737","36,233","37,131","36,220","26,708","25,505","21,940","15,773","11,642","7,219","3,550","1,344","348","53","193,465","193,465","5,724","9,390","11,676","10,868","11,030","13,166","13,270","12,957","16,540","17,622","18,073","13,155","12,012","9,989","7,230","5,463","3,420","1,400","391","82","7","211,437","211,437","5,256","9,007","11,227","10,668","11,725","14,466","15,026","15,780","19,693","19,509","18,147","13,553","13,493","11,951","8,543","6,179","3,799","2,150","953","266","46"
"서울특별시 강남구 (1168000000)","529,946","529,946","11,618","21,084","30,052","30,087","30,527","38,179","38,438","37,273","47,280","49,263","48,131","34,870","32,119","28,888","21,061","15,188","9,267","4,309","1,768","463","81","253,570","253,570","6,023","10,810","15,693","15,682","14,795","17,861","18,309","16,803","21,167","23,083","24,340","17,326","15,147","13,045","9,616","7,247","4,410","1,636","466","96","15","276,376","276,376","5,595","10,274","14,359","14,405","15,732","20,318","20,129","20,470","26,113","26,180","23,791","17,544","16,972","15,843","11,445","7,941","4,857","2,673","1,302","367","66"
"서울특별시 송파구 (1171000000)","659,788","659,788","19,209","27,399","29,491","28,837","36,461","51,566","53,838","51,991","56,613","51,302","54,677","47,207","48,737","39,850","26,247","17,556","10,783","5,358","2,082","503","81","317,743","317,743","9,937","14,115","15,061","14,689","17,612","24,198","25,664","24,781","27,252","25,017","26,429","22,887","22,872","18,670","12,754","8,486","4,824","1,859","521","102","13","342,045","342,045","9,272","13,284","14,430","14,148","18,849","27,368","28,174","27,210","29,361","26,285","28,248","24,320","25,865","21,180","13,493","9,070","5,959","3,499","1,561","401","68"
"서울특별시 강동구 (1174000000)","460,413","460,413","13,978","18,868","19,956","18,996","24,495","33,963","34,737","34,762","39,524","35,266","37,397","33,596","37,273","30,089","20,182","13,239","8,325","3,839","1,517","336","75","225,303","225,303","7,229","9,824","10,525","9,977","12,065","16,325","17,075","17,259","19,541","17,692","18,567","16,349","17,580","14,028","9,654","6,332","3,609","1,266","325","64","17","235,110","235,110","6,749","9,044","9,431","9,019","12,430","17,638","17,662","17,503","19,983","17,574","18,830","17,247","19,693","16,061","10,528","6,907","4,716","2,573","1,192","272","58"
"부산광역시  (2600000000)","3,322,286","3,322,286","82,163","126,233","134,329","131,346","184,795","214,271","199,142","198,932","252,435","243,546","281,473","263,849","302,697","251,038","181,686","125,321","91,565","41,173","13,199","2,699","394","1,622,749","1,622,749","42,130","64,700","69,045","67,568","94,880","111,323","103,005","101,384","127,993","122,294","138,703","127,564","143,088","117,744","83,275","55,433","36,071","13,037","3,030","412","70","1,699,537","1,699,537","40,033","61,533","65,284","63,778","89,915","102,948","96,137","97,548","124,442","121,252","142,770","136,285","159,609","133,294","98,411","69,888","55,494","28,136","10,169","2,287","324"
"부산광역시 중구 (2611000000)","39,936","39,936","373","659","821","980","2,421","3,331","2,566","1,913","2,273","2,578","3,355","3,169","4,086","3,769","2,878","2,123","1,623","678","273","59","8","19,377","19,377","207","345","421","484","1,063","1,649","1,397","986","1,257","1,399","1,772","1,598","1,957","1,775","1,245","917","615","206","75","8","1","20,559","20,559","166","314","400","496","1,358","1,682","1,169","927","1,016","1,179","1,583","1,571","2,129","1,994","1,633","1,206","1,008","472","198","51","7"
"부산광역시 서구 (2614000000)","105,358","105,358","2,035","3,196","3,496","3,669","6,058","6,547","5,416","5,167","7,012","7,113","8,593","8,435","10,310","9,037","7,144","5,321","4,135","1,906","605","148","15","50,911","50,911","1,058","1,702","1,779","1,855","2,866","3,266","2,817","2,639","3,583","3,677","4,450","4,270","4,936","4,170","3,207","2,250","1,575","646","133","26","6","54,447","54,447","977","1,494","1,717","1,814","3,192","3,281","2,599","2,528","3,429","3,436","4,143","4,165","5,374","4,867","3,937","3,071","2,560","1,260","472","122","9"
"부산광역시 동구 (2617000000)","86,948","86,948","1,733","2,127","2,218","2,473","4,057","5,824","5,580","4,920","5,645","5,743","7,258","6,771","8,368","7,605","6,137","4,578","3,645","1,663","494","91","18","42,512","42,512","908","1,096","1,148","1,270","2,026","2,888","2,893","2,631","3,085","3,059","3,849","3,431","4,037","3,538","2,759","1,892","1,339","526","113","18","6","44,436","44,436","825","1,031","1,070","1,203","2,031","2,936","2,687","2,289","2,560","2,684","3,409","3,340","4,331","4,067","3,378","2,686","2,306","1,137","381","73","12"
"부산광역시 영도구 (2620000000)","108,505","108,505","1,773","2,802","3,348","3,530","5,179","5,495","4,969","5,023","6,804","7,329","8,985","9,012","11,636","10,534","8,315","6,352","4,672","1,990","614","128","15","53,391","53,391","885","1,426","1,722","1,820","2,839","3,030","2,701","2,716","3,545","3,824","4,677","4,630","5,656","4,934","3,752","2,691","1,777","609","136","20","1","55,114","55,114","888","1,376","1,626","1,710","2,340","2,465","2,268","2,307","3,259","3,505","4,308","4,382","5,980","5,600","4,563","3,661","2,895","1,381","478","108","14"
"부산광역시 부산진구 (2623000000)","353,568","353,568","8,219","11,143","11,763","12,254","21,727","28,592","25,507","22,253","25,108","24,409","28,754","27,208","31,722","26,131","19,088","13,272","10,275","4,494","1,363","251","35","170,113","170,113","4,218","5,644","5,940","6,199","10,282","13,885","12,892","11,476","12,880","12,263","14,142","13,089","14,736","12,242","8,709","5,718","3,942","1,472","349","30","5","183,455","183,455","4,001","5,499","5,823","6,055","11,445","14,707","12,615","10,777","12,228","12,146","14,612","14,119","16,986","13,889","10,379","7,554","6,333","3,022","1,014","221","30"
"부산광역시 동래구 (2626000000)","273,790","273,790","7,496","12,076","13,100","12,396","14,359","16,210","15,743","16,901","22,479","21,540","23,385","20,414","23,241","19,613","14,360","9,556","6,689","3,032","968","207","25","132,632","132,632","3,855","6,182","6,829","6,425","7,408","8,305","7,995","8,399","11,035","10,500","11,477","9,585","10,718","8,951","6,570","4,381","2,763","980","235","35","4","141,158","141,158","3,641","5,894","6,271","5,971","6,951","7,905","7,748","8,502","11,444","11,040","11,908","10,829","12,523","10,662","7,790","5,175","3,926","2,052","733","172","21"
"부산광역시 남구 (2629000000)","257,147","257,147","5,388","9,798","11,133","11,341","17,296","15,962","12,999","13,737","19,348","19,883","22,309","19,226","21,972","19,204","14,744","10,717","7,548","3,295","1,008","205","34","125,514","125,514","2,770","5,008","5,670","5,819","8,942","8,676","6,828","6,945","9,621","9,981","11,137","9,369","10,157","8,796","6,585","4,664","3,171","1,100","241","30","4","131,633","131,633","2,618","4,790","5,463","5,522","8,354","7,286","6,171","6,792","9,727","9,902","11,172","9,857","11,815","10,408","8,159","6,053","4,377","2,195","767","175","30"
"부산광역시 북구 (2632000000)","279,770","279,770","7,179","10,223","10,777","11,204","15,351","17,972","17,425","16,137","19,404","19,451","24,738","25,950","28,675","21,307","14,035","9,130","6,630","3,021","936","195","30","137,808","137,808","3,669","5,286","5,553","5,889","8,216","9,515","9,127","8,470","9,851","9,598","11,545","12,276","14,043","10,373","6,628","4,121","2,548","899","165","33","3","141,962","141,962","3,510","4,937","5,224","5,315","7,135","8,457","8,298","7,667","9,553","9,853","13,193","13,674","14,632","10,934","7,407","5,009","4,082","2,122","771","162","27"
"부산광역시 해운대구 (2635000000)","387,840","387,840","9,479","15,710","18,129","18,102","21,078","22,685","20,903","22,327","30,444","31,480","36,379","31,908","33,556","27,019","19,031","13,107","9,863","4,706","1,556","330","48","186,088","186,088","4,827","8,143","9,329","9,300","11,167","11,671","10,440","10,727","14,563","15,041","17,334","15,060","15,818","12,667","8,615","5,721","3,755","1,477","364","57","12","201,752","201,752","4,652","7,567","8,800","8,802","9,911","11,014","10,463","11,600","15,881","16,439","19,045","16,848","17,738","14,352","10,416","7,386","6,108","3,229","1,192","273","36"
"부산광역시 사하구 (2638000000)","302,844","302,844","6,707","10,407","11,936","12,264","17,402","18,927","17,016","17,206","22,030","21,918","26,538","25,511","29,764","24,489","16,873","11,174","7,831","3,415","1,142","270","24","150,467","150,467","3,411","5,394","6,134","6,321","9,287","10,271","9,135","9,079","11,489","11,093","13,160","12,448","14,238","11,674","7,979","5,000","3,051","1,018","250","33","2","152,377","152,377","3,296","5,013","5,802","5,943","8,115","8,656","7,881","8,127","10,541","10,825","13,378","13,063","15,526","12,815","8,894","6,174","4,780","2,397","892","237","22"
"부산광역시 금정구 (2641000000)","222,264","222,264","4,033","6,962","7,946","8,704","15,191","15,327","11,995","11,114","14,920","15,069","18,690","18,849","21,611","18,014","13,343","9,232","6,853","3,147","1,036","200","28","108,623","108,623","2,064","3,548","4,110","4,460","7,841","8,668","6,479","5,717","7,497","7,498","9,046","8,941","10,066","8,402","6,090","4,157","2,734","1,027","238","36","4","113,641","113,641","1,969","3,414","3,836","4,244","7,350","6,659","5,516","5,397","7,423","7,571","9,644","9,908","11,545","9,612","7,253","5,075","4,119","2,120","798","164","24"
"부산광역시 강서구 (2644000000)","143,611","143,611","7,675","11,144","8,840","5,046","5,014","7,216","10,815","14,581","16,713","10,883","9,042","8,102","9,713","7,722","4,792","2,807","2,068","964","385","76","13","74,470","74,470","4,028","5,694","4,528","2,567","2,714","3,966","5,513","7,396","9,115","6,172","4,895","4,143","4,834","3,926","2,422","1,390","807","270","73","14","3","69,141","69,141","3,647","5,450","4,312","2,479","2,300","3,250","5,302","7,185","7,598","4,711","4,147","3,959","4,879","3,796","2,370","1,417","1,261","694","312","62","10"
"부산광역시 연제구 (2647000000)","204,377","204,377","5,363","7,746","8,039","8,082","10,679","12,947","12,834","12,789","15,936","15,047","17,316","15,739","18,108","15,575","11,329","7,825","5,628","2,479","766","126","24","98,070","98,070","2,708","3,896","4,125","4,130","5,492","6,377","6,389","6,508","7,869","7,368","8,242","7,442","8,229","7,208","5,123","3,535","2,372","867","163","22","5","106,307","106,307","2,655","3,850","3,914","3,952","5,187","6,570","6,445","6,281","8,067","7,679","9,074","8,297","9,879","8,367","6,206","4,290","3,256","1,612","603","104","19"
"부산광역시 수영구 (2650000000)","174,694","174,694","4,034","5,444","5,551","5,797","9,328","14,031","12,662","10,958","12,607","12,010","14,041","12,690","15,174","13,736","10,427","7,440","5,352","2,432","804","148","28","82,180","82,180","2,004","2,821","2,891","2,962","4,373","6,721","6,372","5,460","6,280","5,815","6,679","5,806","6,649","6,112","4,599","3,346","2,225","812","218","27","8","92,514","92,514","2,030","2,623","2,660","2,835","4,955","7,310","6,290","5,498","6,327","6,195","7,362","6,884","8,525","7,624","5,828","4,094","3,127","1,620","586","121","20"
"부산광역시 사상구 (2653000000)","203,331","203,331","4,021","6,200","6,890","7,239","11,699","14,490","12,373","10,941","13,729","13,643","17,794","19,391","22,365","16,664","11,347","7,063","4,737","2,028","588","110","19","102,331","102,331","2,128","3,138","3,519","3,766","6,129","7,830","6,733","5,873","7,297","7,090","8,851","9,669","11,149","8,133","5,354","3,125","1,859","559","118","9","2","101,000","101,000","1,893","3,062","3,371","3,473","5,570","6,660","5,640","5,068","6,432","6,553","8,943","9,722","11,216","8,531","5,993","3,938","2,878","1,469","470","101","17"
"부산광역시 기장군 (2671000000)","178,303","178,303","6,655","10,596","10,342","8,265","7,956","8,715","10,339","12,965","17,983","15,450","14,296","11,474","12,396","10,619","7,843","5,624","4,016","1,923","661","155","30","88,262","88,262","3,390","5,377","5,347","4,301","4,235","4,605","5,294","6,362","9,026","7,916","7,447","5,807","5,865","4,843","3,638","2,525","1,538","569","159","14","4","90,041","90,041","3,265","5,219","4,995","3,964","3,721","4,110","5,045","6,603","8,957","7,534","6,849","5,667","6,531","5,776","4,205","3,099","2,478","1,354","502","141","26"
"대구광역시  (2700000000)","2,366,852","2,366,852","61,958","97,242","107,082","110,507","142,758","154,552","140,282","140,028","177,914","187,272","217,308","198,408","198,915","150,295","109,323","74,009","59,086","28,985","9,018","1,660","250","1,164,728","1,164,728","31,796","49,735","55,238","57,539","75,645","82,058","75,666","72,475","88,180","92,082","106,459","96,828","95,818","70,584","49,261","31,267","22,405","9,259","2,109","298","26","1,202,124","1,202,124","30,162","47,507","51,844","52,968","67,113","72,494","64,616","67,553","89,734","95,190","110,849","101,580","103,097","79,711","60,062","42,742","36,681","19,726","6,909","1,362","224"
"대구광역시 중구 (2711000000)","79,241","79,241","2,432","3,073","2,699","2,824","4,849","6,957","6,083","5,707","5,827","5,544","6,211","5,397","5,605","4,818","3,971","3,123","2,451","1,155","412","82","21","38,004","38,004","1,215","1,561","1,402","1,407","2,188","3,338","3,130","3,020","2,952","2,739","3,090","2,675","2,679","2,174","1,665","1,283","957","396","114","18","1","41,237","41,237","1,217","1,512","1,297","1,417","2,661","3,619","2,953","2,687","2,875","2,805","3,121","2,722","2,926","2,644","2,306","1,840","1,494","759","298","64","20"
"대구광역시 동구 (2714000000)","340,213","340,213","9,551","13,328","13,335","12,941","17,291","21,700","21,668","21,142","25,599","24,943","28,611","27,494","29,746","24,448","18,648","13,003","10,136","4,913","1,394","284","38","167,121","167,121","4,881","6,782","6,873","6,820","9,240","11,376","11,689","11,189","13,134","12,736","14,238","13,241","13,970","11,170","8,402","5,530","3,857","1,609","327","51","6","173,092","173,092","4,670","6,546","6,462","6,121","8,051","10,324","9,979","9,953","12,465","12,207","14,373","14,253","15,776","13,278","10,246","7,473","6,279","3,304","1,067","233","32"
"대구광역시 서구 (2717000000)","160,802","160,802","2,327","4,014","4,526","5,200","8,038","10,378","8,794","7,712","9,538","10,895","14,494","16,254","17,945","14,180","10,697","7,040","5,470","2,461","688","131","20","80,125","80,125","1,250","2,056","2,259","2,721","4,324","5,652","5,099","4,326","5,155","5,869","7,413","8,166","8,610","6,528","4,808","2,919","2,052","778","125","14","1","80,677","80,677","1,077","1,958","2,267","2,479","3,714","4,726","3,695","3,386","4,383","5,026","7,081","8,088","9,335","7,652","5,889","4,121","3,418","1,683","563","117","19"
